Customer_ID,Age,Gender,CreditScore,Tenure,Balance,NumOfProducts,Education,HasTravelCard,HasCashBackCard,HasPointsCard,HasRewardsCard,HasSecuredCard,Transaction_Count,Avg_Transaction_Value,EstimatedSalary
574,46,F,808,6,114539.52617970904,1,6,0,1,1,1,0,4,176.79794680024543,100737.02841145161
559,66,M,815,9,197180.16644877387,6,6,1,0,0,1,1,4,452.78402918087176,147976.845140448
471,42,F,809,6,100728.11599312695,1,5,1,1,0,1,0,4,273.0853182239122,122931.387165507
301,69,F,750,9,194531.0988391454,6,6,1,1,1,0,0,4,436.4041504269524,149997.7603650015
119,19,F,321,1,6153.472385890702,1,1,1,1,0,0,0,1,32.40576418189155,24973.419676757836
565,60,F,793,9,197488.24814774736,6,6,1,0,1,1,1,4,434.4770241368446,142358.26837236376
297,40,F,848,5,139782.2019411635,1,6,1,0,1,0,1,4,218.09920241649164,146443.8789766258
432,19,F,318,1,9668.54426501664,1,1,1,1,0,1,1,1,21.25539318937962,20508.374974796436
361,23,M,375,1,6118.137548593133,1,1,0,1,0,0,1,1,25.894013455959975,42937.06364530748
252,65,M,789,9,197601.1581594429,6,6,1,0,1,0,1,4,411.8018920849956,147281.57413699967
751,63,F,785,9,193429.43454701963,6,6,1,0,1,1,0,4,478.50125901615075,147694.3290908551
581,66,M,763,9,191440.7371724371,6,6,1,0,1,1,0,4,421.8277382919728,144098.51958779423
64,20,M,347,1,1564.6585818016479,1,1,0,1,1,0,1,1,40.84581754005543,28767.891176381465
199,18,M,354,0,5558.610846147907,1,1,1,1,0,0,0,1,48.194136618226025,48987.07954710283
52,62,F,819,9,194965.2650519832,5,6,1,1,1,1,1,4,439.2944803685166,140423.88474454894
589,62,F,815,9,196614.2192626678,6,6,1,1,1,1,0,4,429.0719934776279,141333.48315494345
64,42,F,840,5,112539.74678635268,1,5,1,0,0,1,0,4,167.5827025308211,146799.0512315033
194,61,F,847,9,190783.72430184126,5,6,1,1,1,0,0,4,481.623637378695,148448.40087344262
87,51,M,843,5,137680.73585487815,1,4,0,1,0,1,0,4,192.69995547524738,143436.055634605
43,60,F,847,9,194694.3967139955,6,6,1,0,1,1,0,4,476.26978384957647,141835.09027662707
515,18,M,311,1,3423.984758730141,1,2,1,1,1,1,1,1,37.741816832457104,22785.839908551923
832,62,M,789,9,194439.5355680494,5,6,1,0,1,0,0,4,491.9321688111836,140846.05939434486
246,50,M,827,6,112283.85622808605,1,4,1,1,0,0,0,4,194.25069116854695,138401.79569506427
946,19,M,393,1,7164.237020842525,1,1,0,0,1,1,1,1,24.425917567085182,23844.557831635197
427,42,F,837,5,144437.8759570891,1,6,0,0,0,1,1,4,161.94566758996655,113448.5027518187
143,23,M,349,0,3123.761663250285,1,1,1,1,0,1,0,1,40.525211907320106,25122.07896768469
93,65,M,814,9,195698.26208834702,6,6,1,1,1,1,1,4,428.96555048025306,149350.77429120737
872,23,M,352,0,9041.615974446302,1,2,1,0,1,1,0,1,48.72419487852225,22896.05386328304
167,60,F,804,9,198867.02851730146,5,6,0,1,1,0,1,4,490.96575908956765,146081.03022351794
141,24,M,322,0,6198.443985099227,1,1,0,1,0,0,0,1,29.75622960655352,41056.058980740614
910,53,M,807,5,130386.37463662375,1,6,1,0,0,1,0,4,155.8895559444161,146193.43650980832
577,19,M,341,1,8073.881836078197,1,2,1,1,1,0,1,1,45.60409678787623,30747.35650768011
68,65,M,810,9,196969.2159199515,5,6,1,0,1,0,0,4,482.5991473703739,141740.85641810292
245,60,F,774,9,193392.95386661324,6,6,1,1,0,0,0,4,419.67218175794073,142277.2035600833
822,23,M,368,0,50.42837712057935,1,2,1,1,0,1,0,1,49.1900431713386,25952.48930363787
889,61,M,767,9,194899.97330503378,6,6,1,1,1,0,0,4,460.26640264133437,149909.7107656359
698,21,M,305,0,1311.9179322252994,1,2,1,1,0,1,1,1,22.974431188850126,21752.837155789206
842,44,M,845,5,111720.32640149197,1,5,1,0,0,0,1,4,150.43114862012615,119174.79984021655
34,65,M,844,9,190496.98427471847,5,6,1,0,1,0,0,4,487.12923747631174,141258.00303548435
148,22,F,391,0,1801.9681094176465,1,1,0,1,1,1,1,1,31.93878736493334,44013.92509254115
155,65,F,796,9,191008.320783905,5,6,1,0,1,0,1,4,482.360566891901,142081.18156869797
70,19,F,381,1,1661.0227881596074,1,1,0,1,1,0,0,1,33.13814162841716,25928.826834335054
390,63,F,797,9,197659.89370932122,6,6,1,1,1,1,1,4,454.25209237787266,149351.70392869442
304,22,F,308,0,5785.61704985866,1,1,0,1,1,0,1,1,36.00192362342903,27719.93335726529
724,63,F,827,9,195593.74248057132,6,6,0,1,1,0,1,4,493.62324716812566,141029.70951027836
74,65,M,832,9,194333.94766381092,5,6,1,1,1,1,0,4,496.7414164883427,140967.88608733847
758,44,F,813,5,114702.77979508879,1,4,1,1,0,1,0,4,259.9872150791118,105481.16851131612
433,66,M,825,9,199785.46006174444,5,6,1,0,0,1,1,4,428.6352242947598,149252.2139833471
77,69,M,780,9,192587.89935727188,6,6,1,1,1,1,1,4,426.1312880987467,142954.754498489
943,69,M,753,9,190918.55039296058,6,6,1,0,1,0,0,4,464.4839734671942,146399.85081778374
956,19,M,366,1,8972.864269991489,1,1,1,1,0,1,1,1,21.702547700158384,49953.35029921713
142,49,M,839,5,122174.37819779498,1,5,1,1,0,1,0,4,257.1667548785546,135726.72998350195
159,53,F,802,6,111873.84796917623,1,6,1,0,0,1,0,4,219.86262874800352,107556.33292350666
917,66,M,818,9,197731.98750660784,6,6,1,0,1,0,0,4,499.4818591045466,143930.35860569988
73,20,F,350,1,146.28961903842108,1,2,0,1,0,0,1,1,29.824360380555483,36045.87264596954
33,61,M,767,9,199559.365159912,5,6,0,0,1,1,1,4,418.8670799087346,148276.7183849669
664,19,F,300,1,7033.767731211251,1,2,1,0,0,0,0,1,44.37766145875732,24777.07848089691
591,54,M,838,5,114665.3924878543,1,5,1,1,0,0,1,4,188.66765420828676,130073.98974385053
933,24,M,359,0,3248.840331609589,1,1,0,1,0,0,1,1,21.46380410321013,35995.14935070259
666,67,F,791,9,192739.2961944131,6,6,1,0,1,0,0,4,472.1954088483252,145046.1533703306
756,22,F,324,1,8610.526610465227,1,2,0,1,0,1,0,1,36.50319944277906,22709.09441000248
69,48,M,825,5,144888.2300325459,1,5,1,0,1,1,1,4,136.93415042317588,117916.85762650402
362,46,M,834,6,128215.56586370291,1,4,1,1,1,1,1,4,256.2683440924652,106149.39571174193
261,64,M,808,9,198112.91809064057,6,6,0,0,1,1,0,4,411.61214106448455,143312.2375046122
805,23,M,304,1,3661.8451334431124,1,2,1,0,0,1,1,1,45.72166925072646,25436.048438952545
176,24,F,357,1,2902.717397781749,1,1,1,1,1,1,0,1,37.38979234300223,37488.43954064166
800,60,F,816,9,192973.0740729795,6,6,1,0,1,0,0,4,490.5191533575837,144303.831260198
769,24,F,357,0,299.3920978274356,1,2,0,1,1,0,1,1,40.14017067135389,33263.314183653456
418,53,M,844,5,100377.84473304778,1,4,0,0,1,1,0,4,142.33607245911298,144736.44478985236
796,41,M,834,5,131420.75908861807,1,5,1,0,1,1,1,4,203.10963610790847,100145.56324626443
629,42,M,829,5,138465.68037463134,1,6,0,0,1,1,0,4,219.47261628650955,142847.94648588635
726,63,M,793,9,191371.36640691696,5,6,1,1,1,0,0,4,475.3530786883349,145348.1092786917
648,53,M,848,6,137518.52186245064,1,6,0,0,1,1,0,4,293.19699748133297,136311.65653159525
764,65,M,820,9,194888.66773376777,5,6,1,0,1,0,1,4,445.80806329858615,145789.6747558337
512,51,M,839,5,144445.29264660666,1,6,0,1,0,1,0,4,112.61422951112534,146855.41551897585
866,45,M,842,5,104703.00349335418,1,6,0,0,1,1,1,4,161.79814105517696,124493.4660236965
741,23,F,325,0,7545.180291556741,1,2,0,1,1,0,1,1,34.818913781249634,31066.2900075163
509,63,M,767,9,198459.50143488147,6,6,1,1,1,0,1,4,470.9739743745255,141110.8105908479
428,52,F,836,6,113880.9601706967,1,6,1,0,1,1,0,4,225.278697575887,102429.32011269689
325,45,M,818,6,118124.43373350537,1,6,0,1,1,1,0,4,201.54977611631782,141751.0124654763
288,23,F,347,0,1145.058036153106,1,2,1,1,1,0,0,1,31.601213754179508,33607.675962554036
458,66,F,822,9,190443.4706396264,6,6,1,1,1,0,1,4,415.82861893832495,146458.16080802932
866,18,F,397,1,2473.174605442905,1,2,0,0,0,1,0,1,37.152307993980955,32413.438781595618
97,62,M,810,9,191116.6478732369,6,6,1,0,1,1,1,4,467.67360723054065,146559.28988600284
58,24,F,397,1,902.2389414996778,1,2,0,1,1,1,0,1,44.52651557647721,39964.381269550744
956,48,F,813,6,143528.3829390181,1,4,1,0,0,1,0,4,164.60663383732503,109658.9439461629
920,21,M,387,1,3166.624778977625,1,1,0,1,1,0,1,1,49.905562700274885,35868.309279092806
596,18,M,340,0,2553.6979873734776,1,2,1,1,1,1,1,1,44.33390966172923,44355.68691332099
785,41,F,812,5,122538.98449152878,1,4,1,1,1,1,1,4,176.70228448609768,128027.94668163554
915,66,M,789,9,192974.44853880623,5,6,1,0,1,0,0,4,494.5727411314285,146668.7056005139
721,54,M,802,6,109287.9230172168,1,6,0,0,0,1,0,4,122.2736094504151,123152.27861218885
514,68,M,797,9,199101.534453733,5,6,1,0,1,0,0,4,478.72678587400844,140127.67104257486
161,61,M,809,9,197331.8837191307,5,6,1,1,1,0,0,4,461.8143043054843,143910.6974644047
830,68,F,794,9,195652.74422771006,6,6,1,1,1,1,0,4,482.9069203687823,148564.14187254576
721,18,M,360,0,8579.630769644324,1,2,1,1,1,0,0,1,31.967027968026326,23893.852200537378
869,44,F,814,6,111885.24748969456,1,5,1,1,1,1,0,4,196.31980413449585,105072.71815110122
677,48,M,845,5,114595.46998647519,1,5,0,0,0,1,1,4,119.24435937381139,119068.62358671999
900,19,M,381,1,725.3177045901938,1,2,1,1,0,1,0,1,49.543361592598984,43409.75523086541
52,46,F,843,6,146470.8377647024,1,4,0,0,0,1,0,4,188.1917623301988,137343.86724545137
241,60,F,750,9,198861.83964813253,5,6,1,0,1,0,1,4,426.40238016610317,144464.09991726594
391,69,F,751,9,194881.93052253305,5,6,1,1,1,0,1,4,477.3035894188606,145374.40574675857
703,40,F,839,6,110572.2153251471,1,6,1,1,1,1,1,4,157.74296676827936,126774.6042628821
923,67,M,766,9,193780.5320478975,6,6,1,1,1,0,1,4,478.9530662992681,145672.88550146087
755,19,M,328,0,1652.5956304937606,1,1,1,1,0,0,0,1,28.32798779259801,42061.13306992367
62,20,F,338,1,7220.134610079001,1,2,0,1,1,1,0,1,36.60658042120158,42682.13227602908
740,40,M,824,5,100443.57439310697,1,4,1,1,0,1,1,4,258.1719195004909,142333.4653526575
968,62,F,779,9,191033.39630079956,5,6,1,0,1,0,0,4,403.60589361006805,144965.66352757168
250,66,F,837,9,194520.94664894324,5,6,1,0,1,1,0,4,499.9409035962929,145973.08828055213
865,69,M,816,9,191690.29922295222,6,6,1,0,1,0,0,4,478.6375132281928,148308.7106878133
18,62,M,770,9,193365.0798585085,6,6,1,1,1,1,1,4,432.1010166214446,146598.58066928454
314,52,F,816,6,127058.36258241793,1,4,1,0,1,1,0,4,126.07071668515341,149614.77858983557
458,23,M,347,1,1865.2308065886348,1,1,1,1,1,0,0,1,29.998112123102697,41861.81429820472
152,67,M,824,9,198594.41161926603,6,6,1,1,0,1,0,4,468.32955319120276,145360.25214455687
324,24,M,301,0,9177.758715306716,1,2,1,1,0,1,1,1,39.155493725796624,28579.82726108644
448,51,F,839,5,117614.55582017914,1,6,1,0,1,1,0,4,195.07928356160156,112181.13328762964
556,54,M,816,5,146891.51071771196,1,4,0,1,1,1,0,4,274.59569710909255,133056.35419124996
410,51,F,814,6,124403.27416273717,1,6,0,0,1,1,1,4,210.99465142776893,113949.2993674915
690,69,F,813,9,195027.9693855494,5,6,1,1,1,1,1,4,431.5792514210563,143274.98225965074
858,45,M,800,6,146471.73128099067,1,4,1,0,0,0,0,4,201.06664602020922,113262.87300703992
103,21,F,396,1,9595.816075159562,1,1,0,1,1,1,0,1,37.01139480786542,42687.81525892337
768,60,F,769,9,197354.99449261656,5,6,1,1,1,0,1,4,477.7471854278798,146380.46309188558
760,65,F,787,9,199128.16753619176,5,6,1,0,1,1,1,4,402.01558325750267,142326.50277106566
328,21,M,306,1,5106.207817489533,1,1,0,1,0,0,1,1,32.60649700561997,46682.60096061465
66,52,F,814,5,149721.46997194743,1,5,1,1,0,1,1,4,118.91394246134385,100109.62511935522
749,69,M,777,9,190717.11781096007,6,6,1,1,1,1,1,4,499.5640447241076,146735.6437935971
40,22,F,371,0,1315.778012890384,1,2,0,1,0,1,1,1,23.989811543605786,28876.211268287396
222,40,M,835,5,148975.41524183477,1,5,0,1,0,1,0,4,189.7178374136966,122290.48124601127
314,64,M,838,9,191406.10487237156,6,6,1,0,1,1,0,4,438.18366063440544,148024.38686897288
630,22,M,386,0,580.8716328871722,1,1,0,1,1,1,0,1,31.77880280051665,27454.137061936766
443,68,M,812,9,193571.00485473374,6,6,0,1,0,1,1,4,480.93029711738734,144001.0305590958
771,21,M,375,0,7522.276710898747,1,2,1,1,0,0,0,1,37.21999395611418,40233.91305348763
843,60,M,819,9,191242.33851272505,5,6,1,1,1,0,0,4,425.35308453572344,141040.4913500828
298,20,M,324,1,4490.672285386204,1,2,1,1,1,1,1,1,39.30387378873013,42883.011126971884
114,22,M,356,0,5377.069060271986,1,2,0,1,1,1,0,1,32.02880149798758,22007.826943683154
607,46,M,838,5,134896.1555941211,1,5,1,0,0,1,1,4,170.33329621858954,134679.5820135753
886,54,F,803,5,147239.92400857527,1,5,0,1,0,1,0,4,239.77746397685894,116872.3637207963
248,24,M,323,1,7215.203781354315,1,2,0,1,0,0,0,1,36.090832457152956,23234.78940339844
585,52,M,807,5,118000.97522018309,1,4,1,0,1,1,1,4,212.8480451956673,133224.12818512533
540,53,F,838,6,149920.80102634287,1,5,1,0,0,1,1,4,273.51576743798336,115974.70037043386
8,49,F,842,5,125361.36075745862,1,6,1,0,0,1,1,4,257.0980428217441,105488.84766615462
674,20,F,349,1,1087.9498278942247,1,1,1,1,1,0,1,1,24.04335614030999,41869.09527140505
553,21,F,306,0,1429.7741838800105,1,2,0,1,0,1,1,1,36.39913605149979,20271.380608142095
288,52,M,810,6,137389.9024905253,1,6,0,0,1,1,0,4,134.40275964576566,124318.80925433295
577,40,M,836,5,108849.85045718226,1,6,1,1,1,1,1,4,266.09847068767886,128379.19062179838
439,18,M,302,1,1921.020347984297,1,1,0,0,1,0,0,1,38.04369765843287,43707.97170054623
144,23,M,370,0,1605.3009924731089,1,2,1,1,1,1,1,1,28.541196865008082,45913.798861383606
807,69,M,824,9,194879.19049122586,6,6,1,1,1,0,0,4,461.64444190527826,142213.81376380293
643,18,F,362,1,4447.732179085725,1,2,0,0,0,1,0,1,41.22354499701522,31878.59161363714
9,66,F,765,9,192994.11953837995,5,6,1,1,1,1,0,4,490.10527194942506,142476.23320124525
668,43,F,839,5,114633.24258632354,1,4,0,1,1,1,1,4,111.77664379610997,113786.90878118749
441,54,F,821,6,114698.68499233415,1,5,0,0,1,1,0,4,132.40889714517675,125507.32314703889
11,21,F,349,0,3422.9411171518,1,2,1,1,0,1,1,1,33.09645642475083,33904.28142330358
815,21,M,326,0,1977.9989851369917,1,2,1,0,1,0,1,1,46.2984519180081,28050.939749045443
431,24,M,371,1,3122.287987600357,1,2,0,1,0,1,0,1,26.281275789154684,22115.073408480595
494,19,F,368,0,691.0729824242701,1,2,1,1,0,1,1,1,21.274603648274848,43214.00450824019
672,51,F,807,6,109674.55136181778,1,4,0,1,1,1,1,4,123.10567434347712,111175.34741992017
901,63,M,779,9,190030.12377192173,6,6,1,1,1,0,0,4,452.71843403533245,148043.81639670552
815,66,M,781,9,199588.1570569427,6,6,1,1,1,0,1,4,460.2874616992226,145827.88755853596
624,52,F,836,5,138175.25187165773,1,4,1,0,0,1,0,4,189.86594457313345,119855.4034597388
250,22,F,312,0,2426.2444301760333,1,1,1,1,1,1,1,1,46.15708240277841,20534.133152444738
523,19,F,329,0,2595.697353922094,1,2,1,1,1,1,1,1,34.678447128987216,21881.27638210489
936,23,F,308,1,2814.427599666357,1,1,1,1,0,1,1,1,34.43917991489306,46686.45674574789
488,64,F,794,9,199955.51125117444,5,6,1,1,1,0,0,4,455.18242495441723,149532.41227634717
246,66,F,790,9,192051.93074627407,6,6,1,0,1,0,0,4,431.31910041679765,142028.78676611432
211,54,M,836,6,133655.22935358994,1,6,1,0,1,1,1,4,268.01823930366635,130597.90009904624
61,24,M,307,1,411.5213859525679,1,2,0,1,1,1,1,1,35.34488632921865,25593.967186466005
995,19,F,399,0,5808.618184498635,1,1,0,1,0,0,1,1,24.723739010747988,28115.30294483767
210,68,M,756,9,199617.21666542,5,6,1,0,0,1,1,4,423.8439008378888,146376.5465775861
896,43,F,831,6,116010.9040758598,1,4,0,1,0,0,0,4,140.27342326023987,125861.27902255076
68,20,F,309,1,5002.925722691914,1,2,0,1,1,0,1,1,26.86494422869779,35406.57218070387
879,41,F,802,5,148037.42398494028,1,5,1,1,1,1,1,4,260.50762056918984,117973.62113664529
458,49,M,812,5,140254.28793458935,1,6,0,1,1,1,1,4,193.3353846047965,140386.96090340774
925,67,M,780,9,192874.15316824932,5,6,0,0,1,0,0,4,434.373670605621,141513.77439662916
221,51,F,845,5,141483.99091018448,1,4,0,1,0,1,1,4,231.77252086619714,111398.32057379164
96,68,F,763,9,190554.47819419793,5,6,0,0,1,1,0,4,476.80922859151633,142345.53163832915
615,42,M,822,6,131686.48780786427,1,4,0,1,1,1,1,4,185.0291397308628,119052.27459303888
386,45,F,831,6,118276.05446919861,1,4,0,1,1,1,0,4,244.4015719688701,125886.57170973251
800,18,F,344,0,474.3762273524399,1,1,0,1,1,1,1,1,39.35126465085523,28219.644372679166
917,24,M,374,1,4799.4003915961,1,2,1,1,0,1,1,1,38.69076423930685,45710.56685066477
160,63,F,799,9,199908.55868889162,5,6,1,0,1,0,1,4,467.4037639740872,145502.91734900768
48,66,F,811,9,190150.9911747683,5,6,1,0,1,0,0,4,476.228329527674,147897.53524983628
322,63,F,753,9,192277.2027778715,5,6,1,1,1,1,1,4,428.8642726017901,145831.5022099144
304,66,M,779,9,198354.34162296922,6,6,0,0,0,1,0,4,440.61911153627034,147525.16389258983
307,20,M,331,0,7937.538349216984,1,1,1,1,0,0,1,1,31.264828297681554,37349.2198420475
770,47,F,845,5,121092.8302424056,1,5,0,0,0,1,0,4,154.62591384259852,149265.08430851303
546,67,M,808,9,195160.98683690254,6,6,1,1,1,0,0,4,420.42736802316983,142730.02418761046
625,63,M,803,9,199824.79467022672,5,6,1,1,1,1,1,4,411.01240418149916,148485.5563450543
762,51,F,815,5,136509.82735246787,1,5,0,0,1,1,0,4,223.74016391211148,140427.76029682942
202,51,F,836,6,101246.94803268384,1,5,1,1,1,1,0,4,150.23898972754097,149425.5436509679
349,19,F,389,1,1621.4507350567785,1,2,0,1,1,0,1,1,44.33838768951786,33114.11293585278
440,50,F,812,6,105384.955407987,1,4,0,1,1,1,1,4,270.12881196675664,124832.28880565084
487,22,M,339,1,6837.006725020223,1,1,1,1,0,0,1,1,28.654997092874005,45318.72377833636
379,49,F,845,6,103281.50438559185,1,6,1,1,1,1,0,4,234.1038587024894,136954.30971174233
366,22,F,380,0,2502.789855219768,1,2,1,1,1,1,1,1,46.14793792635891,27066.59302668912
941,53,M,844,6,130838.43350548309,1,4,1,0,0,1,0,4,258.9590442558292,101860.57208511759
881,68,F,833,9,190071.91647560548,5,6,1,1,1,1,1,4,468.6845155207747,145423.65485134858
929,20,M,395,0,8496.1376833556,1,1,0,1,1,0,1,1,27.97922878688618,38388.829446928234
866,65,M,836,9,197723.83760744595,5,6,1,0,1,1,1,4,429.432638401596,145580.79837236978
950,42,F,828,5,127794.91253995341,1,4,1,1,0,1,1,4,213.097405726862,125043.10921393314
226,20,M,352,1,939.245207863062,1,1,1,1,0,0,0,1,22.084783152210598,27353.70928464126
23,21,M,309,1,6894.163563137991,1,1,0,1,1,1,0,1,33.22386106725115,38731.4572727388
100,60,M,812,9,196523.0052037881,6,6,1,0,1,1,0,4,426.2890174853858,143442.5902815848
233,24,M,339,0,8013.461760771219,1,1,1,1,0,0,0,1,38.760672039645236,42431.238268747235
622,68,M,849,9,195200.53076721224,5,6,0,1,1,0,1,4,475.1611966856478,149833.70881895482
911,53,F,849,6,140293.37249178567,1,6,1,1,0,1,0,4,295.1435142404312,134476.99212947983
496,24,F,368,0,6590.431879178453,1,1,0,1,0,0,1,1,46.61534576522899,33746.83644523327
373,46,F,804,6,127725.84900176407,1,4,0,1,1,1,1,4,144.09885367802903,123348.13029954337
479,65,M,827,9,194464.379744031,6,6,1,0,1,0,0,4,425.7406132715614,141061.6083831322
614,65,M,842,9,191833.36041282213,6,6,1,0,1,1,0,4,481.582593285063,146119.1261102532
756,52,F,809,6,113257.82802857154,1,5,1,1,0,1,1,4,169.2681018823153,148669.62284507023
435,18,M,314,0,9190.052722176348,1,1,0,1,1,0,0,1,48.42397100610026,33344.256068469644
903,42,M,846,5,120411.43105191423,1,6,1,1,0,1,1,4,125.18285467834973,146703.97228595425
687,63,M,780,9,191925.40393968334,5,6,1,0,1,1,1,4,481.7761160971559,140807.60378251242
279,42,F,842,5,135234.7566400222,1,4,0,1,0,0,1,4,108.59210480329709,104954.42068819112
954,40,M,814,6,105820.4265199472,1,4,1,0,1,0,1,4,187.8080699274019,119142.22767149506
566,63,M,755,9,197361.99735147945,6,6,1,1,1,0,0,4,447.8732848141707,147972.8336525012
395,63,M,796,9,198980.48955033606,5,6,1,0,1,0,1,4,477.36882891845244,143134.41556080148
196,50,M,818,6,110456.88367284319,1,4,1,0,0,1,0,4,272.0009004533812,143063.3703603463
675,66,M,792,9,197828.73808913815,6,6,1,1,1,1,0,4,445.40379109827956,140906.68633110743
690,46,F,810,5,120240.91556772235,1,4,1,0,0,1,1,4,181.22925198974556,132932.7797209379
665,68,M,767,9,199158.14080778603,5,6,1,1,1,1,0,4,490.46693134060513,142329.87207378028
384,65,M,762,9,195235.3213618104,6,6,1,0,1,0,1,4,417.9174898276899,146443.60274698833
463,41,M,835,6,135616.70083864298,1,6,0,1,0,1,1,4,112.213310559911,120640.2769858716
434,47,M,822,6,144590.4524404563,1,5,1,0,0,1,0,4,149.0258077422718,118229.49724055539
216,63,F,817,9,193368.7951118983,6,6,1,0,1,1,1,4,417.1637106820536,142658.36729437785
921,51,M,829,5,129965.36547979029,1,5,0,0,1,1,0,4,157.50334054886042,107401.78968790737
91,61,F,767,9,196324.40221107926,5,6,1,0,1,0,1,4,432.28277350534796,144898.78864313912
512,65,F,771,9,193193.26292900104,6,6,1,0,1,1,0,4,424.0103688631604,141672.54263140194
933,53,F,808,6,109408.83165865704,1,4,1,1,0,1,0,4,275.124060628663,139572.32723017328
889,24,M,351,1,5676.50372719613,1,1,1,1,0,0,1,1,38.557952215937284,39467.21379468818
409,23,M,352,0,2726.1665821710144,1,2,0,1,0,0,1,1,32.69825732320705,42964.61745192195
23,68,F,812,9,192600.91170866886,6,6,1,1,1,0,0,4,434.7688066688672,146878.16568171277
43,18,F,369,1,5002.392988370313,1,1,1,1,0,0,0,1,38.994556597304005,41091.422835280595
579,23,F,381,1,5126.710484983754,1,2,0,1,1,1,1,1,34.082892300116946,47119.408358470704
