,user,item,rating
979,8,MSGT15,2
980,8,MSGT52,2
981,8,MSGT31,1
982,8,URLP07,1
984,8,MSGT51,2
985,8,MSGA43,1
986,8,MSGT47,1
988,8,MSGT17,2
989,8,MSGT19,2
990,8,VACM13,2
992,9,MSPP02,3
995,9,MRLP01,4
996,9,UPPP01,2
998,9,MSGT91,3
999,9,VSPP33,4
1001,9,MSGT18,2
1002,9,MSWR01,3
1003,9,VSSS09,3
1004,9,VSPP02,2
1005,9,VSSS01,3
1006,9,VSCA76,2
1007,9,JCUM01,2
1008,9,MSGT66,3
1011,9,MSGT26,2
1012,9,VSPP29,2
1013,9,MSPP03,2
1014,9,VSPP30,3
1015,9,URLP01,3
1016,9,MSGT25,3
1017,9,MSWR07,3
1018,9,VSGA17,3
1019,9,MSGT68,3
1022,9,VSPP03,3
1023,9,VSPP36,2
1024,9,VSPP20,3
1025,9,MSGT55,3
1026,9,VSSS04,2
1028,9,VSPP34,2
1029,9,VSSS07,4
1031,9,MSGT62,3
1032,9,MSPP15,3
1033,9,VSPP37,3
1036,9,VIGI06,1
1038,9,VSSS02,2
1039,9,MSGT10,2
1041,9,MSGT07,2
1042,9,VSCA25,2
1043,9,VSPP04,2
1044,9,MSGT28,3
1045,9,CIS04,4
1047,9,AIS04,4
1048,9,AIS02,2
1050,9,VSPP32,3
1051,9,MSGT14,2
1052,9,VSPP11,1
1054,9,VSPP06,3
1055,9,MSGT12,4
1056,9,VCGA63,3
1057,9,JCGA72,2
1058,9,MSGT11,3
1059,9,MSGT21,3
1062,9,VSPP05,3
1065,9,MSGT08,3
1067,9,VSPP24,2
1068,9,MSGT33,3
1070,9,MSWR06,2
1071,9,VSPP31,2
1073,9,VSSS10,3
1074,9,MSGT24,2
1075,9,VIGI01,2
1076,9,VSPP14,2
1078,9,MRLP07,3
1079,9,MSGT46,3
1080,9,MSGT03,3
1081,9,VCBGSC,3
1082,9,MSGT54,2
1083,9,VRLP01,3
1084,9,VCBA65,3
1085,9,VSSS06,3
1088,9,MSGT04,2
1089,9,MSPP10,3
1090,9,VSPP17,2
1091,9,MSGT44,3
1095,9,MSCA47,3
1096,9,MSGT90,2
1097,9,VCGA67,3
1098,9,MSWW04,2
1099,9,MSWR05,2
1100,9,MSGT37,3
1101,9,VSPP07,3
1103,9,MSGT15,3
1104,9,MSGT52,3
1106,9,URLP07,2
1107,9,MSGT32,4
1108,9,MSGT51,2
1110,9,MSGT47,2
1112,9,MSGT17,2
1113,9,MSGT19,3
1114,9,VACM13,3
1115,9,VSPP18,3
1117,10,MSGT01,2
1118,10,VSPP01,2
1119,10,MRLP01,3
1121,10,VSPP25,1
1122,10,MSGT91,2
1125,10,MSGT18,2
1126,10,MSWR01,2
1128,10,VSPP02,1
1129,10,VSSS01,2
1130,10,VSCA76,1
1131,10,JCUM01,2
1132,10,MSGT66,2
1133,10,VSSS03,2
1134,10,UPDD01,1
1135,10,MSGT26,2
1136,10,VSPP29,1
1137,10,MSPP03,2
1141,10,MSWR07,2
1142,10,VSGA17,2
1143,10,MSGT68,2
1145,10,MSGT30,1
1147,10,VSPP36,2
1148,10,VSPP20,2
1149,10,MSGT55,2
1150,10,VSSS04,1
1151,10,MSGT16,2
1152,10,VSPP34,1
1153,10,VSSS07,2
1154,10,JCGA73,2
1155,10,MSGT62,1
1156,10,MSPP15,2
1157,10,VSPP37,2
1161,10,MSGT02,1
1162,10,VSSS02,2
1163,10,MSGT10,1
1165,10,MSGT07,2
1166,10,VSCA25,1
1168,10,MSGT28,2
1169,10,CIS04,2
1171,10,AIS04,3
1172,10,AIS02,1
1173,10,VSSS08,2
1174,10,VSPP32,1
1175,10,MSGT14,2
1176,10,VSPP11,1
1177,10,MSGT67,2
1179,10,MSGT12,2
1180,10,VCGA63,2
1181,10,JCGA72,2
1182,10,MSGT11,2
1183,10,MSGT21,2
1184,10,MSGT64,1
1185,10,MSGT05,1
1186,10,VSPP05,2
1187,10,MSWR03,1
1188,10,VCBA56,2
1189,10,MSGT08,2
1190,10,JCGA74,2
1191,10,VSPP24,1
1193,10,MSGT65,1
1195,10,VSPP31,2
1196,10,MSGT49,2
1197,10,VSSS10,2
1200,10,VSPP14,1
1201,10,MRLP02,2
1202,10,MRLP07,2
1203,10,MSGT46,2
1204,10,MSGT03,2
1206,10,MSGT54,1
1207,10,VRLP01,2
1208,10,VCBA65,2
1209,10,VSSS06,2
1210,10,MSGT43,1
1211,10,VSPP15,2
1212,10,MSGT04,1
1215,10,MSGT44,2
1216,10,VSPP23,1
1218,10,MSGT35,1
1219,10,MSCA47,2
1220,10,MSGT90,1
1221,10,VCGA67,2
1222,10,MSWW04,1
1223,10,MSWR05,1
1224,10,MSGT37,2
1227,10,MSGT15,2
1228,10,MSGT52,2
1229,10,MSGT31,1
1230,10,URLP07,1
1231,10,MSGT32,2
1233,10,MSGA43,1
1234,10,MSGT47,1
1235,10,JCGA75,2
1236,10,MSGT17,2
1237,10,MSGT19,2
1239,10,VSPP18,2
1240,11,MSPP02,2
1241,11,MSGT01,2
1243,11,MRLP01,3
1246,11,MSGT91,2
1247,11,VSPP33,3
1248,11,JCGA69,2
1249,11,MSGT18,2
1251,11,VSSS09,2
1252,11,VSPP02,2
1253,11,VSSS01,2
1254,11,VSCA76,1
1255,11,JCUM01,2
1256,11,MSGT66,2
1257,11,VSSS03,2
1258,11,UPDD01,1
1259,11,MSGT26,2
1261,11,MSPP03,2
1263,11,URLP01,2
1264,11,MSGT25,2
1265,11,MSWR07,2
1270,11,VSPP03,2
1271,11,VSPP36,2
1272,11,VSPP20,2
1273,11,MSGT55,2
1274,11,VSSS04,1
1276,11,VSPP34,2
1278,11,JCGA73,2
1280,11,MSPP15,2
1281,11,VSPP37,2
1282,11,MSGT40,2
1283,11,VSPP60,1
1284,11,VIGI06,1
1285,11,MSGT02,2
1286,11,VSSS02,1
1287,11,MSGT10,2
1288,11,JCGA70,2
1290,11,VSCA25,1
1292,11,MSGT28,2
1295,11,AIS04,3
1296,11,AIS02,2
1298,11,VSPP32,2
1300,11,VSPP11,1
1301,11,MSGT67,2
1303,11,MSGT12,2
1304,11,VCGA63,2
1305,11,JCGA72,2
1306,11,MSGT11,2
1308,11,MSGT64,2
1309,11,MSGT05,1
1311,11,MSWR03,1
1312,11,VCBA56,2
1313,11,MSGT08,2
1314,11,JCGA74,2
1315,11,VSPP24,2
1317,11,MSGT65,2
1318,11,MSWR06,2
1319,11,VSPP31,2
1320,11,MSGT49,2
1322,11,MSGT24,2
1324,11,VSPP14,1
1325,11,MRLP02,2
1326,11,MRLP07,2
1327,11,MSGT46,2
1329,11,VCBGSC,2
1330,11,MSGT54,2
1332,11,VCBA65,2
1333,11,VSSS06,2
1334,11,MSGT43,1
1336,11,MSGT04,2
1337,11,MSPP10,2
1338,11,VSPP17,1
1341,11,VSPP09,2
1343,11,MSCA47,2
1344,11,MSGT90,2
1345,11,VCGA67,2
1346,11,MSWW04,1
1347,11,MSWR05,2
1348,11,MSGT37,2
1350,11,MSGT34,2
1351,11,MSGT15,2
1352,11,MSGT52,2
1353,11,MSGT31,1
1354,11,URLP07,1
1355,11,MSGT32,3
1356,11,MSGT51,1
1357,11,MSGA43,1
1358,11,MSGT47,1
1359,11,JCGA75,2
1361,11,MSGT19,2
1362,11,VACM13,2
1363,11,VSPP18,2
1364,12,MSPP02,3
1366,12,VSPP01,2
1367,12,MRLP01,4
1369,12,VSPP25,2
1370,12,MSGT91,3
1371,12,VSPP33,4
1372,12,JCGA69,2
1373,12,MSGT18,2
1374,12,MSWR01,3
1375,12,VSSS09,3
1376,12,VSPP02,2
1377,12,VSSS01,3
1379,12,JCUM01,2
1380,12,MSGT66,3
1381,12,VSSS03,2
1383,12,MSGT26,2
1384,12,VSPP29,2
1385,12,MSPP03,3
1387,12,URLP01,3
1388,12,MSGT25,2
1389,12,MSWR07,3
1390,12,VSGA17,3
1391,12,MSGT68,3
1393,12,MSGT30,1
1394,12,VSPP03,2
1395,12,VSPP36,2
1396,12,VSPP20,3
1398,12,VSSS04,2
1399,12,MSGT16,3
1400,12,VSPP34,2
1401,12,VSSS07,3
1402,12,JCGA73,3
1404,12,MSPP15,3
1405,12,VSPP37,3
1406,12,MSGT40,3
1407,12,VSPP60,2
1408,12,VIGI06,1
1413,12,MSGT07,2
1414,12,VSCA25,2
1415,12,VSPP04,3
1416,12,MSGT28,4
1417,12,CIS04,3
1418,12,CIS02,3
1422,12,VSPP32,3
1424,12,VSPP11,1
1425,12,MSGT67,3
1427,12,MSGT12,4
1428,12,VCGA63,2
1429,12,JCGA72,3
1431,12,MSGT21,3
1432,12,MSGT64,2
1433,12,MSGT05,2
1434,12,VSPP05,3
1436,12,VCBA56,3
1437,12,MSGT08,3
1438,12,JCGA74,2
1439,12,VSPP24,3
1441,12,MSGT65,2
1442,12,MSWR06,2
1443,12,VSPP31,2
1444,12,MSGT49,3
1445,12,VSSS10,3
1446,12,MSGT24,2
1447,12,VIGI01,2
1448,12,VSPP14,2
1449,12,MRLP02,2
1450,12,MRLP07,3
1451,12,MSGT46,2
1452,12,MSGT03,3
1453,12,VCBGSC,3
1455,12,VRLP01,3
1457,12,VSSS06,3
1459,12,VSPP15,2
1460,12,MSGT04,2
1461,12,MSPP10,3
1462,12,VSPP17,2
1464,12,VSPP23,1
1465,12,VSPP09,3
1468,12,MSGT90,2
1469,12,VCGA67,3
1470,12,MSWW04,2
1471,12,MSWR05,2
1473,12,VSPP07,3
1474,12,MSGT34,2
1476,12,MSGT52,3
1477,12,MSGT31,1
1480,12,MSGT51,2
1482,12,MSGT47,2
1483,12,JCGA75,3
1484,12,MSGT17,2
1485,12,MSGT19,3
1486,12,VACM13,3
1487,12,VSPP18,3
1488,13,MSPP02,2
1489,13,MSGT01,2
1490,13,VSPP01,2
1491,13,MRLP01,3
1492,13,UPPP01,2
1494,13,MSGT91,2
1495,13,VSPP33,3
1496,13,JCGA69,2
1497,13,MSGT18,2
1498,13,MSWR01,2
1500,13,VSPP02,1
1501,13,VSSS01,2
1502,13,VSCA76,1
1503,13,JCUM01,2
1507,13,MSGT26,2
1508,13,VSPP29,1
1509,13,MSPP03,2
1510,13,VSPP30,2
1512,13,MSGT25,2
1515,13,MSGT68,2
1521,13,MSGT55,2
1526,13,JCGA73,2
1527,13,MSGT62,2
1528,13,MSPP15,2
1529,13,VSPP37,2
1530,13,MSGT40,2
1531,13,VSPP60,2
1532,13,VIGI06,1
1533,13,MSGT02,2
1534,13,VSSS02,1
1536,13,JCGA70,2
1537,13,MSGT07,2
1540,13,MSGT28,2
1541,13,CIS04,3
1542,13,CIS02,2
1544,13,AIS02,2
1545,13,VSSS08,2
1546,13,VSPP32,2
1547,13,MSGT14,2
1548,13,VSPP11,1
1549,13,MSGT67,2
1550,13,VSPP06,2
1551,13,MSGT12,3
1552,13,VCGA63,2
1553,13,JCGA72,2
1554,13,MSGT11,2
1555,13,MSGT21,2
1556,13,MSGT64,2
1557,13,MSGT05,1
